INFO:__main__:Running stego_core.py
INFO:__main__:Loading colorwheel.png
DEBUG:PIL.PngImagePlugin:STREAM b'IHDR' 16 13
DEBUG:PIL.PngImagePlugin:STREAM b'IDAT' 41 65536
INFO:__main__:Converting to RGBAPixelArray
INFO:__main__:Encoding message
DEBUG:__main__:Column 0: offset 0
DEBUG:__main__: [c5] Pixel 452: 0
DEBUG:__main__: [c5] Pixel 489: 0
DEBUG:__main__: [c5] Pixel 526: 1
DEBUG:__main__: [c5] Pixel 563: 0
DEBUG:__main__: [c5] Pixel 600: 1
DEBUG:__main__: [c5] Pixel 637: 1
DEBUG:__main__: [c5] Pixel 674: 1
DEBUG:__main__: [c5] Pixel 711: 0
DEBUG:__main__: [c5] Pixel 748: 0
DEBUG:__main__:Finished column 5 with offset 20
DEBUG:__main__:Column 6: offset 20
DEBUG:__main__:Column 6: start index 17
DEBUG:__main__: [c6] Pixel 17: 0
DEBUG:__main__: [c6] Pixel 54: 1
DEBUG:__main__: [c6] Pixel 91: 0
DEBUG:__main__: [c6] Pixel 128: 0
DEBUG:__main__: [c6] Pixel 165: 0
DEBUG:__main__: [c6] Pixel 202: 0
DEBUG:__main__: [c6] Pixel 239: 0
DEBUG:__main__: [c6] Pixel 276: 0
DEBUG:__main__: [c6] Pixel 313: 1
DEBUG:__main__: [c6] Pixel 350: 0
DEBUG:__main__: [c6] Pixel 387: 1
DEBUG:__main__: [c6] Pixel 424: 0
DEBUG:__main__: [c6] Pixel 461: 1
DEBUG:__main__: [c6] Pixel 498: 0
DEBUG:__main__: [c6] Pixel 535: 0
DEBUG:__main__: [c6] Pixel 572: 0
DEBUG:__main__: [c6] Pixel 609: 1
DEBUG:__main__: [c6] Pixel 646: 1
DEBUG:__main__: [c6] Pixel 683: 0
DEBUG:__main__: [c6] Pixel 720: 1
DEBUG:__main__:Finished column 6 with offset 11
DEBUG:__main__:Column 7: offset 11
DEBUG:__main__:Column 7: start index 26
DEBUG:__main__: [c7] Pixel 26: 0
DEBUG:__main__: [c7] Pixel 63: 0
DEBUG:__main__: [c7] Pixel 100: 0
DEBUG:__main__: [c7] Pixel 137: 0
DEBUG:__main__: [c7] Pixel 174: 1
DEBUG:__main__: [c7] Pixel 211: 1
DEBUG:__main__: [c7] Pixel 248: 0
DEBUG:__main__: [c7] Pixel 285: 0
DEBUG:__main__: [c7] Pixel 322: 1
DEBUG:__main__: [c7] Pixel 359: 0
DEBUG:__main__: [c7] Pixel 396: 1
DEBUG:__main__: [c7] Pixel 433: 0
DEBUG:__main__: [c7] Pixel 470: 0
DEBUG:__main__: [c7] Pixel 507: 1
DEBUG:__main__: [c7] Pixel 544: 0
DEBUG:__main__: [c7] Pixel 581: 0
DEBUG:__main__: [c7] Pixel 618: 0
DEBUG:__main__: [c7] Pixel 655: 0
DEBUG:__main__: [c7] Pixel 692: 0
DEBUG:__main__: [c7] Pixel 729: 0
DEBUG:__main__:Finished column 7 with offset 2
DEBUG:__main__:Column 8: offset 2
DEBUG:__main__:Column 8: start index 35
DEBUG:__main__: [c8] Pixel 35: 1
DEBUG:__main__: [c8] Pixel 72: 1
DEBUG:__main__: [c8] Pixel 109: 1
DEBUG:__main__: [c8] Pixel 146: 0
DEBUG:__main__: [c8] Pixel 183: 0
DEBUG:__main__: [c8] Pixel 220: 0
DEBUG:__main__: [c8] Pixel 257: 1
DEBUG:__main__: [c8] Pixel 294: 0
DEBUG:__main__: [c8] Pixel 331: 1
DEBUG:__main__: [c8] Pixel 368: 1
DEBUG:__main__: [c8] Pixel 405: 1
DEBUG:__main__: [c8] Pixel 442: 0
DEBUG:__main__: [c8] Pixel 479: 1
DEBUG:__main__: [c8] Pixel 516: 0
DEBUG:__main__: [c8] Pixel 553: 1
DEBUG:__main__: [c8] Pixel 590: 0
DEBUG:__main__: [c8] Pixel 627: 1
DEBUG:__main__: [c8] Pixel 664: 1
DEBUG:__main__: [c8] Pixel 701: 0
DEBUG:__main__:Finished column 8 with offset 30
DEBUG:__main__:Column 9: offset 30
DEBUG:__main__:Column 9: start index 7
DEBUG:__main__: [c9] Pixel 7: 1
DEBUG:__main__: [c9] Pixel 44: 0
DEBUG:__main__: [c9] Pixel 81: 0
DEBUG:__main__: [c9] Pixel 118: 1
DEBUG:__main__: [c9] Pixel 155: 0
DEBUG:__main__: [c9] Pixel 192: 1
DEBUG:__main__: [c9] Pixel 229: 1
DEBUG:__main__: [c9] Pixel 266: 0
DEBUG:__main__: [c9] Pixel 303: 0
DEBUG:__main__: [c9] Pixel 340: 0
DEBUG:__main__: [c9] Pixel 377: 1
DEBUG:__main__: [c9] Pixel 414: 1
DEBUG:__main__: [c9] Pixel 451: 0
DEBUG:__main__: [c9] Pixel 488: 1
DEBUG:__main__: [c9] Pixel 525: 1
DEBUG:__main__: [c9] Pixel 562: 0
DEBUG:__main__: [c9] Pixel 599: 1
DEBUG:__main__: [c9] Pixel 636: 0
DEBUG:__main__: [c9] Pixel 673: 1
DEBUG:__main__: [c9] Pixel 710: 1
DEBUG:__main__: [c9] Pixel 747: 0
DEBUG:__main__:Finished column 9 with offset 21
DEBUG:__main__:Column 10: offset 21
DEBUG:__main__:Column 10: start index 16
DEBUG:__main__: [c10] Pixel 16: 0
DEBUG:__main__: [c10] Pixel 53: 1
DEBUG:__main__: [c10] Pixel 90: 0
DEBUG:__main__: [c10] Pixel 127: 0
DEBUG:__main__: [c10] Pixel 164: 0
DEBUG:__main__: [c10] Pixel 201: 0
DEBUG:__main__: [c10] Pixel 238: 0
DEBUG:__main__: [c10] Pixel 275: 0
DEBUG:__main__: [c10] Pixel 312: 1
DEBUG:__main__: [c10] Pixel 349: 1
DEBUG:__main__: [c10] Pixel 386: 0
DEBUG:__main__: [c10] Pixel 423: 0
DEBUG:__main__: [c10] Pixel 460: 0
DEBUG:__main__: [c10] Pixel 497: 1
DEBUG:__main__: [c10] Pixel 534: 0
DEBUG:__main__: [c10] Pixel 571: 0
DEBUG:__main__: [c10] Pixel 608: 1
DEBUG:__main__: [c10] Pixel 645: 1
DEBUG:__main__: [c10] Pixel 682: 1
DEBUG:__main__: [c10] Pixel 719: 0
DEBUG:__main__:Finished column 10 with offset 12
DEBUG:__main__:Column 11: offset 12
DEBUG:__main__:Column 11: start index 25
DEBUG:__main__: [c11] Pixel 25: 0
DEBUG:__main__: [c11] Pixel 62: 1
DEBUG:__main__: [c11] Pixel 99: 0
DEBUG:__main__: [c11] Pixel 136: 0
DEBUG:__main__: [c11] Pixel 173: 1
DEBUG:__main__: [c11] Pixel 210: 1
DEBUG:__main__: [c11] Pixel 247: 0
DEBUG:__main__: [c11] Pixel 284: 1
DEBUG:__main__: [c11] Pixel 321: 1
DEBUG:__main__: [c11] Pixel 358: 1
DEBUG:__main__: [c11] Pixel 395: 1
DEBUG:__main__: [c11] Pixel 432: 0
DEBUG:__main__: [c11] Pixel 469: 1
DEBUG:__main__: [c11] Pixel 506: 1
DEBUG:__main__: [c11] Pixel 543: 1
DEBUG:__main__: [c11] Pixel 580: 0
DEBUG:__main__: [c11] Pixel 617: 1
DEBUG:__main__: [c11] Pixel 654: 1
DEBUG:__main__: [c11] Pixel 691: 1
DEBUG:__main__: [c11] Pixel 728: 0
DEBUG:__main__:Finished column 11 with offset 3
DEBUG:__main__:Column 12: offset 3
DEBUG:__main__:Column 12: start index 34
DEBUG:__main__: [c12] Pixel 34: 1
DEBUG:__main__: [c12] Pixel 71: 1
DEBUG:__main__: [c12] Pixel 108: 0
DEBUG:__main__: [c12] Pixel 145: 1
DEBUG:__main__: [c12] Pixel 182: 1
DEBUG:__main__: [c12] Pixel 219: 1
DEBUG:__main__: [c12] Pixel 256: 0
DEBUG:__main__: [c12] Pixel 293: 0
DEBUG:__main__: [c12] Pixel 330: 0
DEBUG:__main__: [c12] Pixel 367: 1
DEBUG:__main__: [c12] Pixel 404: 0
DEBUG:__main__: [c12] Pixel 441: 0
